id,value
503,78
504,37
505,60
506,77
507,58
508,26
509,87
510,70
511,95
512,35
513,16
514,13
515,96
516,44
517,83
518,38
519,68
520,72
521,73
522,75
523,83
524,28
525,25
526,22
527,72
528,62
529,15
530,66
531,8
532,84
533,63
534,77
535,23
536,53
537,97
538,70
539,89
540,69
541,58
542,91
543,3
544,39
545,89
546,67
547,50
548,34
549,53
550,85
551,44
552,89
553,74
554,83
555,74
556,75
557,97
558,28
559,19
560,18
561,10
562,49
563,89
564,92
565,100
566,96
567,96
568,77
569,21
570,33
571,20
572,8
573,13
574,63
575,83
576,70
577,71
578,85
579,75
580,63
581,22
582,42
583,26
584,5
585,32
586,12
587,24
588,49
589,59
590,79
591,27
592,29
593,69
594,60
595,80
596,96
597,80
598,98
599,84
600,36
601,15
602,93
603,15
604,5
605,41
606,53
607,64
608,41
609,78
610,20
611,87
612,35
613,6
614,24
615,93
616,27
617,54
618,95
619,28
620,39
621,25
622,13
623,72
624,4
625,16
626,97
627,94
628,43
629,44
630,61
631,85
632,83
633,86
634,44
635,21
636,95
637,1
638,8
639,40
640,98
641,82
642,30
643,62
644,50
645,72
646,36
647,73
648,67
649,62
650,37
651,22
652,20
653,38
654,62
655,87
656,51
657,85
658,1
659,90
660,82
661,99
662,92
663,85
664,26
665,14
666,45
667,57
668,37
669,60
670,43
671,70
672,95
673,68
674,75
675,44
676,15
677,38
678,13
679,40
680,10
681,93
682,17
683,82
684,78
685,66
686,80
687,19
688,27
689,85
690,44
691,4
692,73
693,30
694,61
695,96
696,24
697,17
698,46
699,21
700,97
701,54
702,62
703,67
704,58
705,38
706,66
707,76
708,6
709,63
710,63
711,10
712,70
713,29
714,56
715,37
716,89
717,81
718,34
719,53
720,84
721,42
722,68
723,87
724,49
725,10
726,60
727,46
728,43
729,100
730,84
731,58
732,93
733,65
734,61
735,87
736,97
737,12
738,21
739,72
740,40
741,30
742,63
743,24
744,71
745,83
746,28
747,94
748,80
749,13
750,64
751,88
752,31
753,45
754,71
755,62
756,18
757,85
758,5
759,17
760,84
761,69
762,23
763,61
764,15
765,37
766,93
767,95
768,50
769,84
770,78
771,96
772,74
773,39
774,26
775,82
776,5
777,5
778,93
779,40
780,85
781,43
782,48
783,51
784,51
785,11
786,44
787,23
788,84
789,24
790,36
791,84
792,4
793,30
794,49
795,30
796,1
797,28
798,53
799,33
800,12
801,1
802,77
803,43
804,95
805,96
806,86
807,84
808,83
809,40
810,91
811,5
812,15
813,14
814,86
815,51
816,78
817,97
818,95
819,37
820,32
821,74
822,52
823,23
824,47
825,79
826,48
827,14
828,5
829,31
830,29
831,15
832,52
833,96
834,85
835,77
836,66
837,10
838,75
839,55
840,54
841,46
842,39
843,6
844,9
845,2
846,29
847,33
848,69
849,8
850,90
851,70
852,70
853,17
854,1
855,51
856,95
857,85
858,37
859,54
860,91
861,4
862,19
863,33
864,28
865,35
866,61
867,81
868,26
869,1
870,38
871,1
872,8
873,23
874,27
875,55
876,99
877,73
878,1
879,43
880,21
881,93
882,52
883,76
884,5
885,22
886,52
887,53
888,39
889,49
890,72
891,13
892,18
893,8
894,12
895,16
896,8
897,46
898,51
899,33
900,70
901,36
902,44
903,63
904,13
905,67
906,49
907,32
908,52
909,99
910,98
911,85
912,65
913,60
914,21
915,3
916,57
917,52
918,18
919,98
920,2
921,41
922,47
923,78
924,11
925,10
926,7
927,45
928,11
929,93
930,97
931,32
932,55
933,48
934,84
935,84
936,2
937,26
938,65
939,45
940,84
941,77
942,12
943,62
944,72
945,88
946,74
947,41
948,49
949,25
950,69
951,49
952,56
953,21
954,41
955,98
956,60
957,29
958,55
959,54
960,47
961,41
962,33
963,88
964,92
965,11
966,36
967,12
968,11
969,73
970,45
971,71
972,48
973,48
974,100
975,81
976,69
977,59
978,25
979,12
980,48
981,8
982,62
983,28
984,68
985,15
986,6
987,21
988,38
989,55
990,65
991,93
992,55
993,74
994,76
995,21
996,30
997,89
998,39
999,92
1000,32
